country,age_group,sex,concert_months,no_concert_months,concert_avg_yoy,no_concert_avg_yoy,uplift_pct_point,t_statistic,binary_p_value,correlation,intensity_p_value,observations,intensity_result,binary_result,is_top10
India,Age 20 - 24,Male,125,38,2.61,-7.58,10.19,4.908,0.0,0.271,0.0005,163,Significant Positive,Significant Positive,1
India,Age 25 - 34,Female,125,38,9.51,2.89,6.62,2.927,0.0048,0.155,0.0487,163,Significant Positive,Significant Positive,1
India,Age 25 - 34,Male,125,38,4.89,-0.74,5.62,2.687,0.0095,0.18,0.0214,163,Significant Positive,Significant Positive,1
India,Age 35 - 44,Female,125,38,11.92,4.87,7.06,1.669,0.1008,0.15,0.0561,163,Not Significant,Not Significant,1
India,Age 35 - 44,Male,125,38,6.87,1.13,5.74,2.738,0.0081,0.197,0.0116,163,Significant Positive,Significant Positive,1
India,Age 45 - 54,Female,125,38,8.93,2.27,6.66,2.535,0.0139,0.208,0.0077,163,Significant Positive,Significant Positive,1
India,Age 45 - 54,Male,125,38,7.22,2.74,4.47,2.186,0.0323,0.229,0.0033,163,Significant Positive,Significant Positive,1
India,Age 55 - 64,Female,125,38,8.74,5.42,3.32,1.579,0.1196,0.099,0.2092,163,Not Significant,Not Significant,1
India,Age 55 - 64,Male,125,38,6.88,3.57,3.31,1.663,0.1016,0.125,0.1132,163,Not Significant,Not Significant,1
India,Age 65 & Above,Female,125,38,12.13,9.11,3.02,1.333,0.1875,0.081,0.3027,163,Not Significant,Not Significant,1
India,Age 65 & Above,Male,125,38,10.19,6.9,3.29,1.526,0.1322,0.1,0.2057,163,Not Significant,Not Significant,1
Indonesia,Age 14 & Below,Female,125,38,7.64,16.61,-8.97,-1.524,0.1331,-0.055,0.486,163,Not Significant,Not Significant,1
Indonesia,Age 14 & Below,Male,125,38,7.47,16.63,-9.16,-1.635,0.1076,-0.055,0.4839,163,Not Significant,Not Significant,1
Indonesia,Age 15 - 19,Female,125,38,8.86,11.91,-3.05,-0.617,0.5396,0.009,0.9089,163,Not Significant,Not Significant,1
Indonesia,Age 15 - 19,Male,125,38,8.16,12.03,-3.86,-0.808,0.4222,0.016,0.8395,163,Not Significant,Not Significant,1
Indonesia,Age 20 - 24,Female,125,38,5.23,4.89,0.33,0.121,0.904,0.128,0.1029,163,Not Significant,Not Significant,1
Indonesia,Age 20 - 24,Male,125,38,5.36,6.36,-1.0,-0.338,0.7366,0.032,0.6887,163,Not Significant,Not Significant,1
Indonesia,Age 25 - 34,Female,125,38,6.03,6.11,-0.08,-0.028,0.978,0.115,0.1433,163,Not Significant,Not Significant,1
Indonesia,Age 25 - 34,Male,125,38,4.96,4.51,0.45,0.181,0.8566,0.104,0.1874,163,Not Significant,Not Significant,1
Indonesia,Age 35 - 44,Female,125,38,6.46,9.26,-2.79,-0.874,0.3862,-0.007,0.927,163,Not Significant,Not Significant,1
Indonesia,Age 35 - 44,Male,125,38,3.99,6.06,-2.07,-0.782,0.4379,0.029,0.7133,163,Not Significant,Not Significant,1
Indonesia,Age 45 - 54,Female,125,38,5.97,7.83,-1.85,-0.625,0.5345,0.012,0.8814,163,Not Significant,Not Significant,1
Indonesia,Age 45 - 54,Male,125,38,3.96,5.93,-1.96,-0.722,0.4734,0.013,0.8655,163,Not Significant,Not Significant,1
Indonesia,Age 55 - 64,Female,125,38,6.68,10.92,-4.25,-1.337,0.1869,-0.073,0.3535,163,Not Significant,Not Significant,1
Indonesia,Age 55 - 64,Male,125,38,3.88,7.63,-3.75,-1.451,0.1529,-0.04,0.6122,163,Not Significant,Not Significant,1
Indonesia,Age 65 & Above,Female,125,38,8.22,10.16,-1.94,-0.637,0.5266,-0.014,0.861,163,Not Significant,Not Significant,1
Indonesia,Age 65 & Above,Male,125,38,7.53,11.17,-3.64,-1.396,0.1687,-0.086,0.2737,163,Not Significant,Not Significant,1
Iran,Age 14 & Below,Female,123,37,14.2,16.71,-2.51,-0.184,0.8546,0.001,0.9895,160,Not Significant,Not Significant,0
Iran,Age 14 & Below,Male,123,36,25.7,13.44,12.25,0.808,0.4204,0.084,0.2903,159,Not Significant,Not Significant,0
Iran,Age 15 - 19,Female,122,36,67.18,21.34,45.85,1.762,0.08,0.131,0.1017,158,Not Significant,Not Significant,0
Iran,Age 15 - 19,Male,116,36,78.29,18.06,60.24,1.53,0.1281,0.158,0.052,152,Not Significant,Not Significant,0
Iran,Age 20 - 24,Female,124,38,22.41,-0.0,22.41,1.371,0.1722,0.077,0.3288,162,Not Significant,Not Significant,0
Iran,Age 20 - 24,Male,123,36,15.74,36.45,-20.71,-0.966,0.3388,0.027,0.7325,159,Not Significant,Not Significant,0
Iran,Age 25 - 34,Female,125,38,7.18,9.19,-2.02,-0.199,0.8427,-0.008,0.9206,163,Not Significant,Not Significant,0
Iran,Age 25 - 34,Male,125,38,2.92,8.78,-5.86,-0.59,0.5574,-0.08,0.3084,163,Not Significant,Not Significant,0
Iran,Age 35 - 44,Female,125,38,15.4,11.17,4.23,0.356,0.7225,0.059,0.4547,163,Not Significant,Not Significant,0
Iran,Age 35 - 44,Male,125,38,5.98,7.2,-1.21,-0.128,0.8988,0.016,0.8371,163,Not Significant,Not Significant,0
Iran,Age 45 - 54,Female,125,38,19.25,8.07,11.18,0.879,0.3816,0.107,0.1727,163,Not Significant,Not Significant,0
Iran,Age 45 - 54,Male,125,38,5.76,5.56,0.2,0.02,0.9841,0.059,0.4536,163,Not Significant,Not Significant,0
Iran,Age 55 - 64,Female,124,38,13.44,11.45,1.99,0.167,0.8678,0.075,0.3397,162,Not Significant,Not Significant,0
Iran,Age 55 - 64,Male,125,38,7.9,4.86,3.04,0.275,0.7845,0.027,0.7295,163,Not Significant,Not Significant,0
Iran,Age 65 & Above,Female,124,37,19.28,26.15,-6.88,-0.465,0.6438,-0.056,0.4771,161,Not Significant,Not Significant,0
Iran,Age 65 & Above,Male,123,36,9.58,20.53,-10.95,-0.902,0.3703,-0.024,0.762,159,Not Significant,Not Significant,0
Israel,Age 14 & Below,Female,125,38,53.89,9.89,43.99,2.679,0.0083,0.011,0.8931,163,Not Significant,Significant Positive,0
Israel,Age 14 & Below,Male,125,38,58.33,11.83,46.51,2.638,0.0092,0.03,0.7079,163,Not Significant,Significant Positive,0
Israel,Age 15 - 19,Female,120,36,95.19,73.23,21.96,0.502,0.6167,-0.057,0.4823,156,Not Significant,Not Significant,0
Israel,Age 15 - 19,Male,120,36,80.3,41.37,38.93,1.518,0.133,0.097,0.226,156,Not Significant,Not Significant,0
Israel,Age 20 - 24,Female,125,38,36.1,40.5,-4.4,-0.321,0.7495,0.098,0.2111,163,Not Significant,Not Significant,0
Israel,Age 20 - 24,Male,125,38,39.5,1.13,38.38,4.352,0.0,0.182,0.0201,163,Significant Positive,Significant Positive,0
Israel,Age 25 - 34,Female,125,38,22.86,6.96,15.9,2.567,0.012,0.164,0.0365,163,Significant Positive,Significant Positive,0
Israel,Age 25 - 34,Male,125,38,13.78,7.92,5.87,1.179,0.2422,0.239,0.0022,163,Significant Positive,Not Significant,0
Israel,Age 35 - 44,Female,125,38,21.95,4.56,17.39,2.583,0.0112,0.224,0.0041,163,Significant Positive,Significant Positive,0
Israel,Age 35 - 44,Male,125,38,9.21,4.64,4.57,1.089,0.2791,0.274,0.0004,163,Significant Positive,Not Significant,0
Israel,Age 45 - 54,Female,125,38,26.43,3.86,22.57,2.972,0.0036,0.231,0.003,163,Significant Positive,Significant Positive,0
Israel,Age 45 - 54,Male,125,38,12.87,4.57,8.31,1.571,0.1194,0.287,0.0002,163,Significant Positive,Not Significant,0
Israel,Age 55 - 64,Female,125,38,22.0,14.44,7.56,0.768,0.4448,0.178,0.0228,163,Significant Positive,Not Significant,0
Israel,Age 55 - 64,Male,125,38,11.55,7.33,4.21,0.759,0.45,0.251,0.0012,163,Significant Positive,Not Significant,0
Israel,Age 65 & Above,Female,125,38,31.54,40.68,-9.13,-0.579,0.5652,0.072,0.364,163,Not Significant,Not Significant,0
Israel,Age 65 & Above,Male,125,38,19.73,22.18,-2.45,-0.334,0.7396,0.134,0.0879,163,Not Significant,Not Significant,0
Italy,Age 14 & Below,Female,125,38,19.85,17.27,2.58,0.389,0.6985,0.027,0.7347,163,Not Significant,Not Significant,0
Italy,Age 14 & Below,Male,125,38,21.5,8.82,12.68,2.087,0.0391,0.068,0.3853,163,Not Significant,Significant Positive,0
Italy,Age 15 - 19,Female,125,38,37.09,25.48,11.61,0.969,0.3354,0.104,0.1864,163,Not Significant,Not Significant,0
Italy,Age 15 - 19,Male,125,38,44.38,29.16,15.23,0.866,0.3881,0.087,0.2677,163,Not Significant,Not Significant,0
Italy,Age 20 - 24,Female,125,38,16.52,13.61,2.91,0.64,0.5241,0.1,0.2059,163,Not Significant,Not Significant,0
Italy,Age 20 - 24,Male,125,38,15.64,12.32,3.33,0.598,0.5522,0.166,0.0343,163,Significant Positive,Not Significant,0
Italy,Age 25 - 34,Female,125,38,11.14,7.32,3.82,1.201,0.2341,0.047,0.5553,163,Not Significant,Not Significant,0
Italy,Age 25 - 34,Male,125,38,8.33,6.03,2.31,0.842,0.4025,0.082,0.2997,163,Not Significant,Not Significant,0
Italy,Age 35 - 44,Female,125,38,9.43,4.05,5.38,1.708,0.0912,0.091,0.2481,163,Not Significant,Not Significant,0
Italy,Age 35 - 44,Male,125,38,4.12,4.38,-0.26,-0.104,0.9176,0.05,0.5258,163,Not Significant,Not Significant,0
Italy,Age 45 - 54,Female,125,38,15.91,9.18,6.74,1.864,0.0654,0.091,0.2491,163,Not Significant,Not Significant,0
Italy,Age 45 - 54,Male,125,38,8.82,4.5,4.31,1.694,0.0941,0.121,0.1236,163,Not Significant,Not Significant,0
Italy,Age 55 - 64,Female,125,38,18.08,15.22,2.85,0.534,0.595,0.006,0.9389,163,Not Significant,Not Significant,0
Italy,Age 55 - 64,Male,125,38,12.14,7.56,4.59,1.381,0.1713,0.193,0.0137,163,Significant Positive,Not Significant,0
Italy,Age 65 & Above,Female,125,38,29.08,27.94,1.14,0.112,0.9113,-0.04,0.6105,163,Not Significant,Not Significant,0
Italy,Age 65 & Above,Male,125,38,19.03,12.48,6.55,1.08,0.283,0.021,0.7934,163,Not Significant,Not Significant,0
Japan,Age 14 & Below,Female,125,38,16.19,6.43,9.76,2.498,0.0144,0.187,0.0169,163,Significant Positive,Significant Positive,1
Japan,Age 14 & Below,Male,125,38,15.83,7.6,8.23,2.05,0.0439,0.173,0.0274,163,Significant Positive,Significant Positive,1
Japan,Age 15 - 19,Female,125,38,21.73,19.57,2.16,0.131,0.8965,0.148,0.0595,163,Not Significant,Not Significant,1
Japan,Age 15 - 19,Male,125,38,23.95,11.2,12.75,1.108,0.2719,0.249,0.0014,163,Significant Positive,Not Significant,1
Japan,Age 20 - 24,Female,125,38,14.08,6.62,7.46,1.9,0.0623,0.173,0.0275,163,Significant Positive,Not Significant,1
Japan,Age 20 - 24,Male,125,38,10.81,7.23,3.58,1.178,0.244,0.152,0.0528,163,Not Significant,Not Significant,1
Japan,Age 25 - 34,Female,125,38,10.79,5.02,5.77,1.744,0.0859,0.217,0.0054,163,Significant Positive,Not Significant,1
Japan,Age 25 - 34,Male,125,38,7.08,2.85,4.23,1.56,0.1238,0.267,0.0006,163,Significant Positive,Not Significant,1
Japan,Age 35 - 44,Female,125,38,10.02,6.54,3.48,1.066,0.2906,0.16,0.0412,163,Significant Positive,Not Significant,1
Japan,Age 35 - 44,Male,125,38,4.7,0.45,4.26,1.526,0.1324,0.247,0.0015,163,Significant Positive,Not Significant,1
Japan,Age 45 - 54,Female,125,38,13.67,6.69,6.99,1.875,0.0655,0.188,0.0161,163,Significant Positive,Not Significant,1
Japan,Age 45 - 54,Male,125,38,6.5,2.78,3.72,1.309,0.1959,0.218,0.0051,163,Significant Positive,Not Significant,1
Japan,Age 55 - 64,Female,125,38,12.24,5.13,7.11,1.652,0.1037,0.222,0.0044,163,Significant Positive,Not Significant,1
Japan,Age 55 - 64,Male,125,38,6.87,0.41,6.46,2.382,0.0203,0.269,0.0005,163,Significant Positive,Significant Positive,1
Japan,Age 65 & Above,Female,125,38,15.07,8.53,6.54,1.289,0.2019,0.158,0.0435,163,Significant Positive,Not Significant,1
Japan,Age 65 & Above,Male,125,38,10.47,4.43,6.04,1.689,0.0953,0.146,0.0626,163,Not Significant,Not Significant,1
Kuwait,Age 14 & Below,Female,125,38,23.28,74.38,-51.1,-1.606,0.1158,-0.076,0.3337,163,Not Significant,Not Significant,0
Kuwait,Age 14 & Below,Male,125,38,30.25,56.73,-26.48,-0.97,0.3372,-0.019,0.8094,163,Not Significant,Not Significant,0
Kuwait,Age 15 - 19,Female,116,34,174.11,150.55,23.56,0.256,0.7987,-0.045,0.5882,150,Not Significant,Not Significant,0
Kuwait,Age 15 - 19,Male,111,34,145.4,55.22,90.17,1.63,0.1058,-0.012,0.8829,145,Not Significant,Not Significant,0
Kuwait,Age 20 - 24,Female,125,38,10.66,32.41,-21.76,-1.123,0.2673,-0.068,0.3868,163,Not Significant,Not Significant,0
Kuwait,Age 20 - 24,Male,122,38,16.76,86.56,-69.8,-1.76,0.086,-0.08,0.3133,160,Not Significant,Not Significant,0
Kuwait,Age 25 - 34,Female,125,38,12.14,52.41,-40.27,-1.662,0.1043,-0.145,0.0653,163,Not Significant,Not Significant,0
Kuwait,Age 25 - 34,Male,125,38,4.65,22.76,-18.1,-1.611,0.1143,-0.048,0.5398,163,Not Significant,Not Significant,0
Kuwait,Age 35 - 44,Female,125,38,15.93,26.61,-10.68,-0.748,0.4577,0.014,0.8622,163,Not Significant,Not Significant,0
Kuwait,Age 35 - 44,Male,125,38,6.06,5.83,0.22,0.029,0.977,0.071,0.3659,163,Not Significant,Not Significant,0
Kuwait,Age 45 - 54,Female,125,38,16.59,17.17,-0.58,-0.042,0.9665,0.026,0.738,163,Not Significant,Not Significant,0
Kuwait,Age 45 - 54,Male,125,38,5.52,4.26,1.26,0.171,0.8647,0.118,0.1347,163,Not Significant,Not Significant,0
Kuwait,Age 55 - 64,Female,125,38,14.49,52.62,-38.13,-2.002,0.0507,-0.128,0.1038,163,Not Significant,Not Significant,0
Kuwait,Age 55 - 64,Male,125,38,7.26,15.44,-8.18,-0.743,0.4601,-0.085,0.2808,163,Not Significant,Not Significant,0
Kuwait,Age 65 & Above,Female,118,34,45.77,121.81,-76.04,-1.198,0.2388,-0.049,0.5469,152,Not Significant,Not Significant,0
Kuwait,Age 65 & Above,Male,123,38,18.91,38.86,-19.95,-0.928,0.3583,-0.009,0.9139,161,Not Significant,Not Significant,0
Malaysia,Age 14 & Below,Female,125,38,8.12,28.95,-20.83,-2.895,0.0057,-0.168,0.0316,163,Significant Negative,Significant Negative,1
Malaysia,Age 14 & Below,Male,125,38,7.87,27.52,-19.65,-2.821,0.0069,-0.151,0.0547,163,Not Significant,Significant Negative,1
Malaysia,Age 15 - 19,Female,125,38,9.65,28.2,-18.56,-2.564,0.0136,-0.115,0.1446,163,Not Significant,Significant Negative,1
Malaysia,Age 15 - 19,Male,125,38,8.48,24.88,-16.4,-2.664,0.0103,-0.136,0.0841,163,Not Significant,Significant Negative,1
Malaysia,Age 20 - 24,Female,125,38,6.9,17.59,-10.69,-2.433,0.0188,-0.092,0.2424,163,Not Significant,Significant Negative,1
Malaysia,Age 20 - 24,Male,125,38,5.1,15.53,-10.44,-3.02,0.0041,-0.164,0.0361,163,Significant Negative,Significant Negative,1
Malaysia,Age 25 - 34,Female,125,38,6.16,14.78,-8.62,-2.224,0.0307,-0.056,0.4777,163,Not Significant,Significant Negative,1
Malaysia,Age 25 - 34,Male,125,38,4.27,8.3,-4.03,-1.564,0.1239,0.004,0.9634,163,Not Significant,Not Significant,1
Malaysia,Age 35 - 44,Female,125,38,6.57,14.7,-8.13,-2.142,0.0372,-0.048,0.5453,163,Not Significant,Significant Negative,1
Malaysia,Age 35 - 44,Male,125,38,2.66,7.54,-4.88,-1.76,0.0846,0.001,0.9914,163,Not Significant,Not Significant,1
Malaysia,Age 45 - 54,Female,125,38,6.61,16.53,-9.92,-2.708,0.0095,-0.106,0.1773,163,Not Significant,Significant Negative,1
Malaysia,Age 45 - 54,Male,125,38,2.78,8.01,-5.24,-2.03,0.0479,-0.056,0.4788,163,Not Significant,Significant Negative,1
Malaysia,Age 55 - 64,Female,125,38,8.38,20.37,-11.98,-2.902,0.0057,-0.201,0.01,163,Significant Negative,Significant Negative,1
Malaysia,Age 55 - 64,Male,125,38,4.91,14.3,-9.4,-3.036,0.0039,-0.181,0.0208,163,Significant Negative,Significant Negative,1
Malaysia,Age 65 & Above,Female,125,38,10.91,22.35,-11.45,-2.836,0.0068,-0.219,0.0049,163,Significant Negative,Significant Negative,1
Malaysia,Age 65 & Above,Male,125,38,9.23,19.15,-9.92,-2.877,0.0061,-0.234,0.0027,163,Significant Negative,Significant Negative,1
Mauritius,Age 14 & Below,Female,125,38,23.27,18.33,4.93,0.462,0.6452,0.083,0.2904,163,Not Significant,Not Significant,0
Mauritius,Age 14 & Below,Male,125,38,19.82,15.62,4.2,0.339,0.7354,-0.004,0.9549,163,Not Significant,Not Significant,0
Mauritius,Age 15 - 19,Female,123,37,46.13,14.19,31.94,1.281,0.2041,0.087,0.2736,160,Not Significant,Not Significant,0
Mauritius,Age 15 - 19,Male,123,37,50.62,-3.29,53.91,2.038,0.0433,0.119,0.1344,160,Not Significant,Significant Positive,0
Mauritius,Age 20 - 24,Female,125,38,17.9,11.43,6.47,0.637,0.5257,0.056,0.4747,163,Not Significant,Not Significant,0
Mauritius,Age 20 - 24,Male,125,38,17.66,-6.4,24.06,2.822,0.006,0.108,0.1707,163,Not Significant,Significant Positive,0
Mauritius,Age 25 - 34,Female,125,38,10.86,8.64,2.22,0.31,0.7576,-0.094,0.2318,163,Not Significant,Not Significant,0
Mauritius,Age 25 - 34,Male,125,38,5.45,1.4,4.05,0.58,0.564,-0.011,0.8887,163,Not Significant,Not Significant,0
Mauritius,Age 35 - 44,Female,125,38,9.18,3.65,5.54,0.997,0.3219,0.027,0.7365,163,Not Significant,Not Significant,0
Mauritius,Age 35 - 44,Male,125,38,5.8,-7.14,12.94,2.325,0.0227,0.142,0.0702,163,Not Significant,Significant Positive,0
Mauritius,Age 45 - 54,Female,125,38,8.1,0.71,7.39,1.212,0.2297,0.009,0.909,163,Not Significant,Not Significant,0
Mauritius,Age 45 - 54,Male,125,38,1.68,-4.88,6.55,1.285,0.2037,0.063,0.4221,163,Not Significant,Not Significant,0
Mauritius,Age 55 - 64,Female,125,38,9.41,4.32,5.09,0.882,0.3808,-0.062,0.4332,163,Not Significant,Not Significant,0
Mauritius,Age 55 - 64,Male,125,38,8.21,2.06,6.15,1.026,0.3091,-0.024,0.76,163,Not Significant,Not Significant,0
Mauritius,Age 65 & Above,Female,125,38,22.48,8.36,14.12,1.406,0.1634,-0.052,0.5104,163,Not Significant,Not Significant,0
Mauritius,Age 65 & Above,Male,125,38,14.75,5.79,8.96,1.285,0.2032,-0.04,0.6102,163,Not Significant,Not Significant,0
Myanmar,Age 14 & Below,Female,125,38,13.13,10.84,2.29,0.428,0.6699,0.144,0.0676,163,Not Significant,Not Significant,0
Myanmar,Age 14 & Below,Male,125,38,15.37,7.63,7.74,1.519,0.1334,0.253,0.0011,163,Significant Positive,Not Significant,0
Myanmar,Age 15 - 19,Female,125,38,13.84,13.53,0.32,0.063,0.9498,0.088,0.2635,163,Not Significant,Not Significant,0
Myanmar,Age 15 - 19,Male,125,38,12.82,2.63,10.19,1.864,0.0672,0.159,0.0425,163,Significant Positive,Not Significant,0
Myanmar,Age 20 - 24,Female,125,38,11.13,17.26,-6.12,-1.101,0.2753,0.082,0.2992,163,Not Significant,Not Significant,0
Myanmar,Age 20 - 24,Male,125,38,6.99,-1.24,8.23,1.864,0.0668,0.24,0.002,163,Significant Positive,Not Significant,0
Myanmar,Age 25 - 34,Female,125,38,11.76,8.35,3.41,0.978,0.3323,0.121,0.1233,163,Not Significant,Not Significant,0
Myanmar,Age 25 - 34,Male,125,38,9.94,3.0,6.94,1.595,0.1163,0.237,0.0023,163,Significant Positive,Not Significant,0
Myanmar,Age 35 - 44,Female,125,38,13.46,7.31,6.15,2.138,0.0361,0.264,0.0007,163,Significant Positive,Significant Positive,0
Myanmar,Age 35 - 44,Male,125,38,9.65,5.83,3.81,1.116,0.2695,0.249,0.0013,163,Significant Positive,Not Significant,0
Myanmar,Age 45 - 54,Female,125,38,13.15,16.71,-3.56,-1.061,0.2928,0.098,0.211,163,Not Significant,Not Significant,0
Myanmar,Age 45 - 54,Male,125,38,10.88,8.54,2.34,0.727,0.4705,0.246,0.0016,163,Significant Positive,Not Significant,0
Myanmar,Age 55 - 64,Female,125,38,15.11,18.23,-3.12,-0.902,0.3703,0.085,0.2779,163,Not Significant,Not Significant,0
Myanmar,Age 55 - 64,Male,125,38,12.06,16.21,-4.14,-1.133,0.262,0.034,0.6621,163,Not Significant,Not Significant,0
Myanmar,Age 65 & Above,Female,125,38,15.37,18.29,-2.92,-0.826,0.4123,0.095,0.2259,163,Not Significant,Not Significant,0
Myanmar,Age 65 & Above,Male,125,38,12.61,18.43,-5.81,-1.718,0.091,0.004,0.9604,163,Not Significant,Not Significant,0
Netherlands,Age 14 & Below,Female,125,38,7.93,3.6,4.33,0.976,0.3326,0.107,0.1737,163,Not Significant,Not Significant,0
Netherlands,Age 14 & Below,Male,125,38,7.79,7.81,-0.02,-0.003,0.9974,0.015,0.8471,163,Not Significant,Not Significant,0
Netherlands,Age 15 - 19,Female,125,38,12.87,6.3,6.57,0.911,0.3665,0.053,0.4998,163,Not Significant,Not Significant,0
Netherlands,Age 15 - 19,Male,125,38,13.76,-3.05,16.81,2.901,0.005,0.123,0.1176,163,Not Significant,Significant Positive,0
Netherlands,Age 20 - 24,Female,125,38,7.07,6.64,0.44,0.12,0.905,-0.054,0.4941,163,Not Significant,Not Significant,0
Netherlands,Age 20 - 24,Male,125,38,5.86,8.02,-2.16,-0.582,0.5632,-0.07,0.3771,163,Not Significant,Not Significant,0
Netherlands,Age 25 - 34,Female,125,38,4.46,2.57,1.89,0.818,0.4167,-0.045,0.5662,163,Not Significant,Not Significant,0
Netherlands,Age 25 - 34,Male,125,38,3.55,2.03,1.52,0.677,0.5015,-0.038,0.6289,163,Not Significant,Not Significant,0
Netherlands,Age 35 - 44,Female,125,38,4.54,1.3,3.24,1.358,0.1796,0.13,0.0977,163,Not Significant,Not Significant,0
Netherlands,Age 35 - 44,Male,125,38,0.81,-0.83,1.64,0.902,0.3711,0.131,0.0948,163,Not Significant,Not Significant,0
Netherlands,Age 45 - 54,Female,125,38,5.58,1.49,4.09,1.813,0.0745,0.025,0.7522,163,Not Significant,Not Significant,0
Netherlands,Age 45 - 54,Male,125,38,3.04,-0.18,3.22,1.587,0.118,0.064,0.4186,163,Not Significant,Not Significant,0
Netherlands,Age 55 - 64,Female,125,38,5.34,-1.41,6.75,2.98,0.0039,0.217,0.0055,163,Significant Positive,Significant Positive,0
Netherlands,Age 55 - 64,Male,125,38,3.66,0.83,2.83,1.577,0.1198,0.091,0.2497,163,Not Significant,Not Significant,0
Netherlands,Age 65 & Above,Female,125,38,6.73,6.37,0.36,0.1,0.9203,0.051,0.5194,163,Not Significant,Not Significant,0
Netherlands,Age 65 & Above,Male,125,38,6.75,3.94,2.81,0.819,0.4164,0.043,0.5845,163,Not Significant,Not Significant,0
New Zealand,Age 14 & Below,Female,125,38,6.66,1.3,5.36,1.35,0.182,0.084,0.2846,163,Not Significant,Not Significant,0
New Zealand,Age 14 & Below,Male,125,38,6.8,4.54,2.26,0.539,0.5917,0.038,0.6262,163,Not Significant,Not Significant,0
New Zealand,Age 15 - 19,Female,125,38,8.52,4.47,4.05,0.629,0.5313,0.031,0.6958,163,Not Significant,Not Significant,0
New Zealand,Age 15 - 19,Male,125,38,9.51,10.88,-1.36,-0.148,0.8826,-0.021,0.7875,163,Not Significant,Not Significant,0
New Zealand,Age 20 - 24,Female,125,38,8.95,-2.43,11.38,2.503,0.0146,0.094,0.2305,163,Not Significant,Significant Positive,0
New Zealand,Age 20 - 24,Male,125,38,8.17,1.2,6.97,1.484,0.1417,0.077,0.3266,163,Not Significant,Not Significant,0
New Zealand,Age 25 - 34,Female,125,38,7.05,-3.21,10.26,2.645,0.01,0.142,0.0707,163,Not Significant,Significant Positive,0
New Zealand,Age 25 - 34,Male,125,38,4.99,-1.97,6.96,2.037,0.0456,0.119,0.1316,163,Not Significant,Significant Positive,0
New Zealand,Age 35 - 44,Female,125,38,6.72,0.16,6.55,1.954,0.055,0.131,0.0964,163,Not Significant,Not Significant,0
New Zealand,Age 35 - 44,Male,125,38,4.18,-1.95,6.13,2.469,0.0165,0.214,0.006,163,Significant Positive,Significant Positive,0
New Zealand,Age 45 - 54,Female,125,38,6.88,-0.29,7.16,2.227,0.0294,0.187,0.0169,163,Significant Positive,Significant Positive,0
New Zealand,Age 45 - 54,Male,125,38,3.87,-1.33,5.19,2.117,0.038,0.188,0.0164,163,Significant Positive,Significant Positive,0
New Zealand,Age 55 - 64,Female,125,38,7.89,1.68,6.21,2.201,0.0315,0.251,0.0012,163,Significant Positive,Significant Positive,0
New Zealand,Age 55 - 64,Male,125,38,5.68,-0.0,5.68,2.433,0.0178,0.193,0.0137,163,Significant Positive,Significant Positive,0
New Zealand,Age 65 & Above,Female,125,38,13.11,6.83,6.27,2.107,0.0385,0.184,0.019,163,Significant Positive,Significant Positive,0
New Zealand,Age 65 & Above,Male,125,38,11.57,5.58,5.99,2.163,0.0341,0.184,0.0185,163,Significant Positive,Significant Positive,0
Norway,Age 14 & Below,Female,125,38,13.35,-2.47,15.82,2.786,0.0061,0.076,0.3361,163,Not Significant,Significant Positive,0
Norway,Age 14 & Below,Male,125,38,11.44,6.1,5.34,0.703,0.484,-0.052,0.5095,163,Not Significant,Not Significant,0
Norway,Age 15 - 19,Female,125,38,28.17,12.98,15.19,1.107,0.2705,0.027,0.734,163,Not Significant,Not Significant,0
Norway,Age 15 - 19,Male,125,38,46.66,18.97,27.69,1.283,0.2021,0.009,0.9089,163,Not Significant,Not Significant,0
Norway,Age 20 - 24,Female,125,38,9.64,2.94,6.7,1.205,0.2312,0.077,0.3315,163,Not Significant,Not Significant,0
Norway,Age 20 - 24,Male,125,38,11.95,8.34,3.6,0.473,0.6368,0.0,0.9962,163,Not Significant,Not Significant,0
Norway,Age 25 - 34,Female,125,38,4.62,4.34,0.29,0.069,0.9454,-0.049,0.5328,163,Not Significant,Not Significant,0
Norway,Age 25 - 34,Male,125,38,-0.99,3.53,-4.51,-1.616,0.1098,-0.137,0.0821,163,Not Significant,Not Significant,0
Norway,Age 35 - 44,Female,125,38,5.73,0.28,5.45,1.38,0.1719,-0.047,0.5531,163,Not Significant,Not Significant,0
Norway,Age 35 - 44,Male,125,38,-0.23,-1.49,1.26,0.507,0.6133,-0.045,0.5701,163,Not Significant,Not Significant,0
Norway,Age 45 - 54,Female,125,38,5.58,3.91,1.67,0.442,0.6596,0.028,0.7211,163,Not Significant,Not Significant,0
Norway,Age 45 - 54,Male,125,38,0.67,1.77,-1.1,-0.453,0.6521,-0.074,0.3477,163,Not Significant,Not Significant,0
Norway,Age 55 - 64,Female,125,38,5.17,3.57,1.6,0.349,0.7278,-0.014,0.8551,163,Not Significant,Not Significant,0
Norway,Age 55 - 64,Male,125,38,3.46,-0.77,4.23,1.479,0.1441,0.093,0.2359,163,Not Significant,Not Significant,0
Norway,Age 65 & Above,Female,125,38,11.16,5.85,5.31,0.677,0.5014,-0.001,0.9868,163,Not Significant,Not Significant,0
Norway,Age 65 & Above,Male,125,38,7.84,3.48,4.36,0.864,0.3911,0.001,0.9923,163,Not Significant,Not Significant,0
