country,age_group,sex,concert_months,no_concert_months,concert_avg_yoy,no_concert_avg_yoy,uplift_pct_point,t_statistic,binary_p_value,correlation,intensity_p_value,observations,intensity_result,binary_result,is_top10
Belgium and Luxembourg,Age 25 - 34,Female,125,38,9.0,3.6,5.39,1.742,0.0863,0.146,0.0621,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 25 - 34,Male,125,38,6.54,3.59,2.95,1.219,0.2275,0.034,0.6699,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 35 - 44,Female,125,38,6.9,3.44,3.46,1.304,0.1956,0.141,0.0736,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 35 - 44,Male,125,38,4.24,-0.63,4.87,2.252,0.0271,0.133,0.0912,163,Not Significant,Significant Positive,0
Belgium and Luxembourg,Age 45 - 54,Female,125,38,10.55,7.52,3.03,0.745,0.4588,0.13,0.0981,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 45 - 54,Male,125,38,5.3,4.02,1.28,0.466,0.6426,0.095,0.226,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 55 - 64,Female,125,38,10.49,6.83,3.66,1.1,0.2749,0.135,0.0866,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 55 - 64,Male,125,38,7.67,3.92,3.75,1.159,0.2516,0.059,0.4549,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 65 & Above,Female,125,38,15.98,7.94,8.04,1.335,0.1867,0.041,0.6066,163,Not Significant,Not Significant,0
Belgium and Luxembourg,Age 65 & Above,Male,125,38,11.17,14.0,-2.83,-0.58,0.564,-0.019,0.8111,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 14 & Below,Female,125,38,2.51,10.39,-7.87,-1.264,0.2119,-0.152,0.053,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 14 & Below,Male,125,38,2.14,11.43,-9.29,-1.355,0.1817,-0.114,0.1491,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 15 - 19,Female,125,38,3.79,3.13,0.66,0.118,0.9067,-0.004,0.964,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 15 - 19,Male,125,38,0.03,12.45,-12.42,-2.272,0.0274,-0.108,0.1685,163,Not Significant,Significant Negative,0
Brunei Darussalam,Age 20 - 24,Female,125,38,2.01,2.04,-0.02,-0.006,0.9956,0.024,0.7593,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 20 - 24,Male,125,38,-1.33,5.74,-7.07,-1.512,0.137,-0.169,0.0314,163,Significant Negative,Not Significant,0
Brunei Darussalam,Age 25 - 34,Female,125,38,3.06,5.14,-2.08,-0.519,0.6054,-0.038,0.6275,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 25 - 34,Male,125,38,2.78,0.88,1.9,0.562,0.5763,-0.019,0.8115,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 35 - 44,Female,125,38,3.21,7.5,-4.29,-0.999,0.3229,-0.077,0.3298,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 35 - 44,Male,125,38,0.73,2.84,-2.12,-0.844,0.402,-0.083,0.2931,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 45 - 54,Female,125,38,0.95,6.68,-5.73,-1.992,0.0514,-0.119,0.1312,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 45 - 54,Male,125,38,-0.68,2.13,-2.82,-1.168,0.247,-0.052,0.5129,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 55 - 64,Female,125,38,5.24,13.25,-8.01,-2.181,0.0343,-0.225,0.0038,163,Significant Negative,Significant Negative,0
Brunei Darussalam,Age 55 - 64,Male,125,38,2.44,9.13,-6.69,-2.153,0.0365,-0.231,0.003,163,Significant Negative,Significant Negative,0
Brunei Darussalam,Age 65 & Above,Female,125,38,9.56,13.99,-4.42,-0.781,0.4389,0.003,0.9724,163,Not Significant,Not Significant,0
Brunei Darussalam,Age 65 & Above,Male,125,38,8.43,10.9,-2.47,-0.611,0.5442,-0.046,0.5613,163,Not Significant,Not Significant,0
Canada,Age 14 & Below,Female,125,38,12.46,0.18,12.28,3.098,0.0028,0.201,0.0099,163,Significant Positive,Significant Positive,0
Canada,Age 14 & Below,Male,125,38,11.95,1.85,10.11,2.494,0.015,0.161,0.0398,163,Significant Positive,Significant Positive,0
Canada,Age 15 - 19,Female,125,38,12.02,3.46,8.57,1.326,0.1896,0.127,0.1054,163,Not Significant,Not Significant,0
Canada,Age 15 - 19,Male,125,38,9.51,5.22,4.29,0.674,0.5032,0.109,0.1653,163,Not Significant,Not Significant,0
Canada,Age 20 - 24,Female,125,38,6.7,2.98,3.72,1.249,0.2167,0.137,0.0822,163,Not Significant,Not Significant,0
Canada,Age 20 - 24,Male,125,38,8.87,-1.08,9.95,3.399,0.0012,0.298,0.0001,163,Significant Positive,Significant Positive,0
Canada,Age 25 - 34,Female,125,38,8.44,2.05,6.4,2.682,0.0095,0.127,0.1064,163,Not Significant,Significant Positive,0
Canada,Age 25 - 34,Male,125,38,7.32,-2.03,9.35,4.471,0.0,0.263,0.0007,163,Significant Positive,Significant Positive,0
Canada,Age 35 - 44,Female,125,38,10.13,1.31,8.82,3.043,0.0035,0.257,0.0009,163,Significant Positive,Significant Positive,0
Canada,Age 35 - 44,Male,125,38,6.69,-1.58,8.27,3.441,0.001,0.281,0.0003,163,Significant Positive,Significant Positive,0
Canada,Age 45 - 54,Female,125,38,6.96,1.09,5.87,2.533,0.0136,0.162,0.0393,163,Significant Positive,Significant Positive,0
Canada,Age 45 - 54,Male,125,38,4.44,0.65,3.78,1.741,0.086,0.17,0.0304,163,Significant Positive,Not Significant,0
Canada,Age 55 - 64,Female,125,38,8.66,4.61,4.05,1.552,0.1257,0.11,0.1613,163,Not Significant,Not Significant,0
Canada,Age 55 - 64,Male,125,38,6.58,1.94,4.64,2.417,0.0182,0.186,0.0174,163,Significant Positive,Significant Positive,0
Canada,Age 65 & Above,Female,125,38,14.82,6.03,8.79,2.263,0.0266,0.058,0.4658,163,Not Significant,Significant Positive,0
Canada,Age 65 & Above,Male,125,38,11.31,7.41,3.9,1.332,0.1863,0.043,0.5835,163,Not Significant,Not Significant,0
China,Age 14 & Below,Female,125,38,72.65,29.26,43.4,1.191,0.2356,0.085,0.2809,163,Not Significant,Not Significant,1
China,Age 14 & Below,Male,125,38,75.62,29.47,46.15,1.17,0.2439,0.081,0.3058,163,Not Significant,Not Significant,1
China,Age 15 - 19,Female,125,38,48.54,11.79,36.76,1.907,0.0585,0.169,0.0315,163,Significant Positive,Not Significant,1
China,Age 15 - 19,Male,125,38,45.99,10.35,35.64,1.917,0.0571,0.168,0.0321,163,Significant Positive,Not Significant,1
China,Age 20 - 24,Female,125,38,36.25,10.19,26.05,2.529,0.0124,0.311,0.0001,163,Significant Positive,Significant Positive,1
China,Age 20 - 24,Male,125,38,27.1,5.39,21.72,2.617,0.0097,0.33,0.0,163,Significant Positive,Significant Positive,1
China,Age 25 - 34,Female,125,38,32.78,11.61,21.17,2.237,0.0267,0.221,0.0045,163,Significant Positive,Significant Positive,1
China,Age 25 - 34,Male,125,38,24.46,5.46,19.0,2.746,0.0068,0.28,0.0003,163,Significant Positive,Significant Positive,1
China,Age 35 - 44,Female,125,38,34.83,13.69,21.14,1.822,0.0703,0.161,0.0407,163,Significant Positive,Not Significant,1
China,Age 35 - 44,Male,125,38,22.47,5.04,17.43,2.503,0.0134,0.234,0.0026,163,Significant Positive,Significant Positive,1
China,Age 45 - 54,Female,125,38,37.35,18.4,18.96,1.615,0.1085,0.157,0.045,163,Significant Positive,Not Significant,1
China,Age 45 - 54,Male,125,38,21.14,10.62,10.52,1.552,0.1237,0.182,0.0204,163,Significant Positive,Not Significant,1
